,,1d,Translation 1d,1e,Translation 1e,1f,Translation 1f,1i,Translation 1i,2d,Translation 2d,2e,Translation 2e,2f,Translation 2f,2i,Translation 2i,3d,Translation 3d,3e,Translation 3e,3f,Translation 3f,3j,Translation 3j
MOLENGUE TI BABA GBANBO,nos frères qui ont utilisé les armes contre leurs frères,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
HAINE,Ma soeur; ,HAINE,,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Tu es mon frère,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
UN ANIMAL,Ma soeur; ,UN ANIMAL,,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
HAINE,vous mes frères,HAINE,,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
TU ES UN BANDA,Mon frère,TU ES UN BANDA,,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,mon frère centrafricain,VAGIN DE TA MERE,,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
PERE,frère centrafricain,PERE,,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Nos sœurs; ,QUALIFICATION NEFASTE,,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
BORDELLE,centrafricain,BORDELLE,,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",mon frère centrafricain,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
Salete,Mon frère; ,Salete,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
Simple Banda,Nos frères centrafricains ,Simple Banda,,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
"Anti Balaka,AK47", frère centrafricain,"Anti Balaka,AK47",Milices chrétiens; ,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Soeur; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
I mo na i gbongo,Mon frère de chœur; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Prostituée;,"Zanga ,Kodjos,Djrif",,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
fetiche,non déchiffré,fetiche,,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Villageois,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
KOTA BE,tôt ou tard nous allons vous exterminer,KOTA BE,Jalousie,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,de l'ethnique banda,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Un poulet  cherche de maison ; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
HAINE,Femme; ,HAINE,,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Milice musulman; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
UN ANIMAL,mon ami,UN ANIMAL,,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
HAINE,Mes frères; ,HAINE,,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
TU ES UN BANDA,nos frères qui ont utilisé les armes contre leurs frères,TU ES UN BANDA,,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Ma soeur; ,VAGIN DE TA MERE,,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
PERE,Tu es mon frère,PERE,,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Ma soeur; ,QUALIFICATION NEFASTE,,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
BORDELLE,vous mes frères,BORDELLE,,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Mon frère; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
Salete,mon frère centrafricain,Salete,,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
Simple Banda,frère centrafricain,Simple Banda,,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Nos sœurs,"Anti Balaka,AK47",Milices chrétiens; ,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Centrafricain,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
I mo na i gbongo,"Mon frère, centrafricain; ",I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Mon frère; ,"Zanga ,Kodjos,Djrif",non déchiffré,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
fetiche,Nos frères centrafricains ,fetiche,,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Frère centrafricain,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
KOTA BE,Soeur; ,KOTA BE,Jalousie,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Mon frère de chœur; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Prostituée;,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
HAINE,non déchiffré,HAINE,,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Villageois,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
UN ANIMAL,tôt ou tard nous allons vous exterminer,UN ANIMAL,,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
HAINE,de l'ethnique banda,HAINE,,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
TU ES UN BANDA,Un poulet  cherche de maison ; ,TU ES UN BANDA,,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Femme; ,VAGIN DE TA MERE,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
PERE,Milice musulman; ,PERE,,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,mon ami,QUALIFICATION NEFASTE,,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
BORDELLE,Nos frères; ,BORDELLE,,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",nos frères qui ont utilisé les armes contre leurs frères,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
Salete,Ma soeur; ,Salete,,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
Simple Banda,Tu es mon frère,Simple Banda,,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Ma soeur; ,"Anti Balaka,AK47",Milices chrétiens; ,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",vous mes frères,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
I mo na i gbongo,Mon frère; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",mon frère centrafricain,"Zanga ,Kodjos,Djrif",,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
fetiche,frère centrafricain,fetiche,,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Nos sœurs; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
KOTA BE,Centrafricain,KOTA BE,Jalousie,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,mon frère centrafricain,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Mon frère; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
HAINE,Nos frères centrafricains ,HAINE,,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,frère centrafricain,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
UN ANIMAL,Soeur; ,UN ANIMAL,,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
HAINE,Mon frère en chœur; ,HAINE,,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
TU ES UN BANDA,Prostituée;,TU ES UN BANDA,,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,non déchiffré,VAGIN DE TA MERE,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
PERE,Villageois,PERE,,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,tôt ou tard nous allons vous exterminer,QUALIFICATION NEFASTE,,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
BORDELLE,de l'ethnique banda,BORDELLE,,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Un poulet  cherche de maison ; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
Salete,Femme; ,Salete,,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
Simple Banda,Milice musulman; ,Simple Banda,,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Milice musulman ; ,"Anti Balaka,AK47",Milices chrétiens; ,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",mon ami,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
I mo na i gbongo,Nos frères; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",nos frères qui ont utilisé les armes contre leurs frères,"Zanga ,Kodjos,Djrif",non déchiffré,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
fetiche,Ma soeur; ,fetiche,,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Tu es mon frère,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
KOTA BE,Ma soeur; ,KOTA BE,Jalousie,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,vous mes frères,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Mon frère,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
HAINE,mon frère centrafricain,HAINE,,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,frère centrafricain,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
UN ANIMAL,Nos sœurs; ,UN ANIMAL,,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
HAINE,centrafricain,HAINE,,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
TU ES UN BANDA,mon frère centrafricain,TU ES UN BANDA,,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Mon frère; ,VAGIN DE TA MERE,,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
PERE,Nos frères centrafricains ,PERE,,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE, frère centrafricain,QUALIFICATION NEFASTE,,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
BORDELLE,Soeur; ,BORDELLE,,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Mon frère de chœur; ,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
Salete,Prostituée;,Salete,,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
Simple Banda,non déchiffré,Simple Banda,,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Villageois,"Anti Balaka,AK47",Milices chrétiens; ,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",tôt ou tard nous allons vous exterminer,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
I mo na i gbongo,de l'ethnique banda,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Un poulet  cherche de maison ; ,"Zanga ,Kodjos,Djrif",,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
fetiche,Femme; ,fetiche,,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Milice musulman; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
KOTA BE,mon ami,KOTA BE,Jalousie,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Nos frères; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,nos frères qui ont utilisé les armes contre leurs frères,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
HAINE,Ma soeur; ,HAINE,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Tu es mon frère,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
UN ANIMAL,Ma soeur; ,UN ANIMAL,,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
HAINE,vous mes frères,HAINE,,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
TU ES UN BANDA,Mon frère,TU ES UN BANDA,,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,mon frère centrafricain,VAGIN DE TA MERE,,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
PERE,frère centrafricain,PERE,,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Nos sœurs; ,QUALIFICATION NEFASTE,,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
BORDELLE,centrafricain,BORDELLE,,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",mon frère centrafricain,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
Salete,Mon frère; ,Salete,,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
Simple Banda,Nos frères centrafricains ,Simple Banda,,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
"Anti Balaka,AK47", frère centrafricain,"Anti Balaka,AK47",Milices chrétiens; ,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",Soeur; ,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
I mo na i gbongo,Mon frère de chœur; ,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Prostituée;,"Zanga ,Kodjos,Djrif",non déchiffré,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
fetiche,non déchiffré,fetiche,,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Villageois,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
KOTA BE,tôt ou tard nous allons vous exterminer,KOTA BE,Jalousie,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,de l'ethnique banda,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Un poulet  cherche de maison ; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
HAINE,Femme; ,HAINE,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Milice musulman; ,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
UN ANIMAL,mon ami,UN ANIMAL,,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
HAINE,Nos frères; ,HAINE,,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
TU ES UN BANDA,nos frères qui ont utilisé les armes contre leurs frères,TU ES UN BANDA,,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Ma soeur; ,VAGIN DE TA MERE,,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
PERE,Tu es mon frère,PERE,,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,Ma soeur; ,QUALIFICATION NEFASTE,,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
BORDELLE,vous mes frères,BORDELLE,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",Mon frère,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
Salete,mon frère centrafricain,Salete,,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
Simple Banda,frère centrafricain,Simple Banda,,,,,,Me ne Yami,Ma soeur; ,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Nos sœurs; ,"Anti Balaka,AK47",Milices chrétiens; ,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",centrafricain,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
I mo na i gbongo,mon frère centrafricain,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,"ITA TI MBI, WA BE AFRICA",mon frère centrafricain,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",Mon frère; ,"Zanga ,Kodjos,Djrif",,,,,,ITA WA BE AFRIKA,frère centrafricain,,,,,,,,,,,,,,,,
fetiche,Nos frères centrafricains ,fetiche,,,,,,A ITA TI I TI WALI,Nos sœurs; ,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme, frère centrafricain,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,WA BE AFRIKA,centrafricain,,,,,,,,,,,,,,,,
KOTA BE,Soeur; ,KOTA BE,Jalousie,,,,,ITA TI MBI WA BE AFRIKA,mon frère centrafricain,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,Mon frère de chœur; ,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,ITA TI MBI,Mon frère; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Prostituée;,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,A ITA TI I  A WA BE AFRIKA,Nos frères centrafricains ,,,,,,,,,,,,,,,,
HAINE,non déchiffré,HAINE,,,,,,ITA TI BE AFRICA, frère centrafricain,,,,,,,,,,,,,,,,
A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Villageois,A BANDA A YEKE A ZO TI TENE NGO KETE TENE,Ceux de l'ethnie banda sont des calomniateurs; ,,,,,ITA WALI,Soeur; ,,,,,,,,,,,,,,,,
UN ANIMAL,tôt ou tard nous allons vous exterminer,UN ANIMAL,,,,,,FRERE ( ITA ),,,,,,,,,,,,,,,,,
HAINE,de l'ethnique banda,HAINE,,,,,,ITA TI MBI TI BE,Mon frère de chœur; ,,,,,,,,,,,,,,,,
TU ES UN BANDA,Un poulet  cherche de maison ; ,TU ES UN BANDA,,,,,,Le mot musulmaneb exprime siplement,,,,,,,,,,,,,,,,,
VAGIN DE TA MERE,Femme; ,VAGIN DE TA MERE,,,,,,Kata,Prostituée;,,,,,,,,,,,,,,,,
PERE,Milice musulman; ,PERE,,,,,,Detite regiense,non déchiffré,,,,,,,,,,,,,,,,
QUALIFICATION NEFASTE,mon ami,QUALIFICATION NEFASTE,,,,,,Zo ti kete kodro,Villageois,,,,,,,,,,,,,,,,
BORDELLE,Nos frères; ,BORDELLE,,,,,,Lawa lawa eke finire na a la,tôt ou tard nous allons vous exterminer,,,,,,,,,,,,,,,,
"Pindougou, Zo ti dji,Zongahozo",nos frères qui ont utilisé les armes contre leurs frères,"Pindougou, Zo ti dji,Zongahozo",Prostituée; un Voleur; Sidéens; ,,,,,Banda,de l'ethnique banda,,,,,,,,,,,,,,,,
Salete,Ma soeur; ,Salete,,,,,,Kondo a guida,Un poulet  cherche de maison ; ,,,,,,,,,,,,,,,,
Simple Banda,Tu es mon frère,Simple Banda,,,,,,WALI,Femme; ,,,,,,,,,,,,,,,,
"Anti Balaka,AK47",Ma soeur; ,"Anti Balaka,AK47",Milices chrétiens; ,,,,,Seleka,Milice musulman; ,,,,,,,,,,,,,,,,
"Gbagbara ,Guere",vous mes frères,"Gbagbara ,Guere",Sans valeur; Pieds; ,,,,,i_Y_a_t_il_un_autre_sans_tre_insultant,,,,,,,,,,,,,,,,,
I mo na i gbongo,Mon frère,I mo na i gbongo,donner de l'impossibilité à quelqu'un,,,,,Ndeko ti mbi,mon ami,,,,,,,,,,,,,,,,
"Zanga ,Kodjos,Djrif",mon frère centrafricain,"Zanga ,Kodjos,Djrif",,,,,,A ITA TI I,Nos frères; ,,,,,,,,,,,,,,,,
fetiche,frère centrafricain,fetiche,,,,,,A ita ti i so a gbou ngombé na tere ti a ita ti ala,nos frères qui ont utilisé les armes contre leurs frères,,,,,,,,,,,,,,,,
d_Qu_elle_est_la_si_fication_de_ce_terme,Nos sœurs; ,d_Qu_elle_est_la_si_fication_de_ce_terme,,,,,,I TA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
KOTA BE,centrafricain,KOTA BE,Jalousie,,,,,Me ne Yami,Tu es mon frère,,,,,,,,,,,,,,,,
ARBOU SOUKOULA LI,mon frère centrafricain,ARBOU SOUKOULA LI,Chrétien converti à l'islam,,,,,ITA TI MBI TI WALI,Ma soeur; ,,,,,,,,,,,,,,,,
MOLENGUE TI BABA GBANBO,Mon frère; ,MOLENGUE TI BABA GBANBO,Enfant qui aurait plusieurs pères; ,,,,,yo Yami,vous mes frères,,,,,,,,,,,,,,,,
HAINE,Nos frères centrafricains ,HAINE,,,,,,ITA TI MBI,Mon frère,,,,,,,,,,,,,,,,
